player,total_runs,bat_avg,bat_sr,total_fours,total_sixes,centuries,fifties,seasons_batted,last_season_bat,total_wickets,bowl_avg,economy,bowl_sr,seasons_bowled,last_season_bowl,best_economy,avg_dots_per_spell,inn_wickets,max_sr_inn,avg_sr_inn,max_6s_inn,max_4s_inn,role,bat_impact,bowl_impact,overall_impact,powerplay_bowler,death_bowler,finisher,anchor,runs_3yr_avg,sr_3yr_avg,wkts_3yr_avg,econ_3yr_avg
Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.66333333333333,8.153333333333334,19.22,3.0,2013.0,4.5,7.5,1.0,0.0,0.0,0.0,0.0,bowler,0.0,21.460124574878673,21.460124574878673,False,True,False,False,0.0,0.0,2.6666666666666665,8.153333333333334
Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,10.33,18.0,1.0,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bowler,0.0,0.19125683060109291,0.19125683060109291,False,False,False,False,0.0,0.0,1.0,10.33
Andre Russell,2035.0,25.481,150.314,137.0,175.0,0.0,10.0,10.0,2022.0,89.0,37.153,9.446000000000002,23.023,10.0,2022.0,3.0,9.0,26.0,600.0,257.94032258064516,11.0,9.0,allrounder,31.04134528726265,39.62675302839237,35.33404915782751,False,False,True,False,211.66666666666666,157.13666666666666,11.333333333333334,9.823333333333332
Andrew Flintoff,62.0,31.0,116.98,5.0,2.0,0.0,0.0,1.0,2009.0,2.0,52.5,9.54,33.0,1.0,2009.0,3.66,10.0,1.0,216.66,192.945,1.0,2.0,bowler,17.199585509515707,21.499122052810577,21.499122052810577,False,False,False,False,62.0,116.98,2.0,9.54
Andrew McDonald,120.0,10.5,124.52,9.0,4.0,0.0,0.0,3.0,2012.0,11.0,14.2,8.9875,10.2,4.0,2013.0,0.0,0.0,0.0,360.0,225.26,2.0,4.0,allrounder,10.537263946655553,2.1038251366120218,6.3205445416337875,False,True,False,False,40.0,124.52,2.0,8.700000000000001
Andrew Symonds,974.0,45.115,131.7375,74.0,41.0,1.0,5.0,4.0,2011.0,20.0,23.7125,9.675,17.7675,4.0,2011.0,3.75,8.333333333333334,8.0,380.0,215.52344827586208,7.0,11.0,allrounder,30.933977629883834,24.259285796171042,27.59663171302744,False,False,False,True,271.0,124.53999999999998,6.666666666666667,7.973333333333334
Andrew Tye,91.0,9.4575,90.2175,6.0,5.0,0.0,0.0,4.0,2020.0,42.0,42.314,9.504000000000001,25.1,5.0,2022.0,3.0,10.125,20.0,350.0,279.165,2.0,2.0,bowler,8.368743553515188,31.021204717413735,31.021204717413735,False,False,False,False,12.666666666666666,61.40333333333333,2.0,10.936666666666667
Angelo Mathews,724.0,21.426666666666666,124.66666666666667,44.0,29.0,0.0,1.0,6.0,2017.0,27.0,24.968333333333334,9.361666666666666,18.885,6.0,2017.0,4.25,7.142857142857143,10.0,475.0,216.12785714285715,4.0,5.0,allrounder,17.60820396656347,25.6047436170387,21.606473791801086,False,False,False,False,116.0,126.90333333333335,4.0,9.046666666666667
Aniket Choudhary,25.0,25.0,125.0,1.0,1.0,0.0,0.0,1.0,2017.0,5.0,28.8,8.55,20.2,1.0,2017.0,4.25,13.0,2.0,0.0,0.0,0.0,0.0,bowler,15.292175969225013,27.354885551606863,27.354885551606863,False,True,False,False,25.0,125.0,5.0,8.55
Anil Kumble,35.0,7.5,71.74,3.0,0.0,0.0,0.0,3.0,2010.0,45.0,27.959999999999997,6.736666666666667,24.03333333333333,3.0,2010.0,1.57,11.705882352941176,32.0,0.0,0.0,0.0,0.0,bowler,6.395038680630695,32.31653269584803,32.31653269584803,True,True,False,False,11.666666666666666,71.74,15.0,6.736666666666667
