player,opponent,opp_sr,opp_runs,opp_6s
Ben Stokes,CSK,176.92,46.0,3.0
Ben Stokes,DC,124.57,74.0,2.0
Ben Stokes,GL,163.49,206.0,12.0
Ben Stokes,MI,178.33,214.0,6.0
Ben Stokes,PBKS,180.28333333333333,150.0,9.0
Ben Stokes,SRH,156.0,39.0,3.0
Bhanuka Rajapaksa,CSK,147.5,93.0,5.0
Bhanuka Rajapaksa,DC,80.0,4.0,0.0
Bhanuka Rajapaksa,GT,142.85,80.0,2.0
Bhanuka Rajapaksa,KKR,344.44,62.0,6.0
Bhanuka Rajapaksa,LSG,128.57,9.0,0.0
Bhanuka Rajapaksa,RCB,195.45,86.0,8.0
Bhanuka Rajapaksa,RR,150.0,54.0,4.0
Bharat Chipli,KKR,120.0,48.0,1.0
Bharat Chipli,RCB,174.28,122.0,6.0
Bhuvneshwar Kumar,DC,166.66,5.0,0.0
Bhuvneshwar Kumar,KKR,85.71,6.0,0.0
Bhuvneshwar Kumar,RCB,88.88,8.0,0.0
Biplap Samantray,RR,119.56,55.0,1.0
Bipul Sharma,GL,245.45,27.0,3.0
Bipul Sharma,KKR,233.33,14.0,2.0
Bipul Sharma,PWI,194.44,35.0,2.0
Brad Hodge,CSK,148.04666666666668,193.0,10.0
Brad Hodge,DEC,166.345,175.0,4.0
Brad Hodge,KKR,161.43666666666667,125.0,4.0
Brad Hodge,MI,135.03,276.0,11.0
Brad Hodge,PBKS,163.84333333333333,137.0,5.0
Brad Hodge,RCB,144.44,82.0,2.0
Brad Hodge,RR,194.11,66.0,4.0
Brad Hodge,SRH,186.2,54.0,5.0
Brendon McCullum,CSK,164.468,280.0,14.0
Brendon McCullum,DC,157.76875,323.0,14.0
Brendon McCullum,KKR,165.18222222222224,371.0,18.0
Brendon McCullum,MI,153.63666666666666,680.0,23.0
Brendon McCullum,PBKS,141.25333333333333,319.0,20.0
Brendon McCullum,PWI,96.505,83.0,1.0
Brendon McCullum,RCB,152.56571428571428,902.0,51.0
Brendon McCullum,RPS,169.78857142857143,323.0,17.0
Brendon McCullum,RR,169.07333333333335,191.0,12.0
Brendon McCullum,SRH,155.82666666666668,232.0,18.0
Brett Lee,DC,266.66,16.0,2.0
Brett Lee,RR,227.27,25.0,2.0
Cameron White,CSK,145.28,154.0,4.0
Cameron White,DC,162.5,130.0,4.0
Cameron White,DEC,284.055,44.0,4.0
Cameron White,MI,161.655,73.0,5.0
Cameron White,PBKS,163.41,67.0,1.0
Cameron White,PWI,167.0,304.0,18.0
Cameron White,RCB,170.22,97.0,6.0
Cameron White,RR,110.71,31.0,0.0
Carlos Brathwaite,CSK,169.585,64.0,7.0
Carlos Brathwaite,KKR,309.09,34.0,3.0
Carlos Brathwaite,RPS,250.0,20.0,3.0
Cheteshwar Pujara,DEC,166.66,25.0,0.0
Cheteshwar Pujara,PBKS,106.25,51.0,0.0
Cheteshwar Pujara,RCB,200.0,16.0,2.0
Cheteshwar Pujara,RR,117.21000000000001,74.0,1.0
Cheteshwar Pujara,SRH,109.37,35.0,0.0
Chidhambaram Gautam,RCB,107.14,30.0,3.0
Chris Gayle,CSK,159.85,459.0,36.0
Chris Gayle,DC,176.85999999999999,744.0,58.0
Chris Gayle,DEC,270.0,27.0,2.0
Chris Gayle,GL,202.63,154.0,14.0
Chris Gayle,KKR,187.59117647058824,1128.0,92.0
Chris Gayle,KTK,275.0,44.0,5.0
Chris Gayle,MI,151.67384615384614,910.0,54.0
Chris Gayle,PBKS,193.69333333333333,1426.0,114.0
Chris Gayle,PWI,204.08428571428573,667.0,64.0
Chris Gayle,RCB,171.90125,440.0,21.0
Chris Gayle,RR,157.0381818181818,681.0,44.0
Chris Gayle,SRH,222.79285714285714,385.0,38.0
Chris Jordan,KKR,166.66,30.0,3.0
Chris Lynn,CSK,164.765,198.0,14.0
Chris Lynn,GL,226.82,186.0,16.0
Chris Lynn,MI,174.87,175.0,10.0
Chris Lynn,PBKS,180.1457142857143,435.0,22.0
Chris Lynn,RCB,166.48833333333334,305.0,18.0
Chris Lynn,RR,139.88,145.0,7.0
Chris Lynn,SRH,142.28,152.0,6.0
Chris Morris,DC,200.0,36.0,4.0
Chris Morris,GL,256.25,164.0,16.0
Chris Morris,MI,126.82,52.0,1.0
Chris Morris,PBKS,312.5,25.0,3.0
Chris Morris,RPS,306.11,152.0,10.0
Chris Morris,SRH,309.09,34.0,3.0
Colin Ingram,MI,146.87,47.0,1.0
Colin Ingram,PBKS,211.11,19.0,0.0
Colin Munro,CSK,162.5,26.0,2.0
Colin Munro,KKR,183.33,66.0,4.0
Colin Munro,SRH,166.66,80.0,6.0
Colin de Grandhomme,MI,205.625,52.0,4.0
Colin de Grandhomme,RPS,189.47,36.0,2.0
Colin de Grandhomme,SRH,235.29,40.0,4.0
Corey Anderson,CSK,250.0,38.0,4.0
Corey Anderson,GL,150.0,18.0,2.0
Corey Anderson,KKR,134.14,110.0,6.0
Corey Anderson,PBKS,158.635,74.0,5.0
Corey Anderson,RR,173.735,290.0,18.0
Corey Anderson,SRH,170.83,41.0,3.0
D'Arcy Short,DC,176.0,44.0,4.0
D'Arcy Short,KKR,102.32,44.0,1.0
Dan Christian,KKR,229.48000000000002,41.0,4.0
Dan Christian,PBKS,227.14,54.0,4.0
Dan Christian,RR,136.84,26.0,2.0
Daniel Harris,RCB,114.63,47.0,4.0
Daniel Sams,CSK,166.66,5.0,0.0
Daniel Sams,DC,350.0,7.0,1.0
Daniel Sams,RR,600.0,6.0,1.0
Daniel Sams,SRH,136.36,15.0,1.0
Darren Sammy,KKR,147.14499999999998,46.0,5.0
Darren Sammy,RR,142.215,89.0,4.0
Daryl Mitchell,MI,85.0,17.0,0.0
David Hussey,DC,138.09333333333333,91.0,5.0
David Hussey,DEC,174.37714285714287,356.0,25.0
David Hussey,MI,166.7025,210.0,12.0
